ID_MAN_CO;FUND_NUMBER;FUND_NAME;FUND_CCY;INSTRUMENT_ID;ISIN_CODE;TELEKURS_CODE;BLOOMBERG_CODE;ISSUER_CODE;ISSUER_NAME;GRINFIN;ASSET_GROUP;ASSET_PICTET_TYPE;SFI_TYPE;STRIKE;CONTRACT_SIZE;SECURITY_NAME;SECURITY_CCY;COUNTRY_CODE;COUNTRY_NAME;ECONOMIC_SECTOR_CODE;ECONOMIC_SECTOR_NAME;MATURITY_DATE;MKT_CODE;MIC_CODE;RATING_SP;RATING_MOODYS;RATING_FITCH;CUSTODIAN_CODE;CUSTODIAN_NAME;UNDERLYING_INSTR_ID;UNDERLYING_ISIN_CODE;UNDERLYING_TELEKURS_CODE;UNDERLYING_BLOOMBERG_CODE;UNDERLYING_MKT_CODE;UNDERLYING_MIC_CODE;UNDERLYING_GRINFIN;UNDERLYING_ASSET_GROUP;UNDERLYING_ASSET_PICTET_TYPE;UNDERLYING_SFI_TYPE;UNDERLYING_NAME;UNDERLYING_CCY;UNDERLYING_DATE_MATURITY;UNDERLYING_ISSUER;UNDERLYING_ISSUER_NAME;UNDERLYING_COUNTRY_CODE;UNDERLYING_COUNTRY_NAME;UNDERLYING_ECO_SECTOR_CODE;UNDERLYING_ECO_SECTOR_NAME;UNDERLYING_RATING_SP;UNDERLYING_RATING_MOODYS;UNDERLYING_RATING_FITCH;UNDERLYING_PRICE;QUANTITY;MARKET_PRICE;CALCUL_TYPE;MARKET_VALUE;MARKET_VALUE_FUND_CCY;FX_RATE_INV_FUND;FX_RATE_INV_EUR;DATE_VALORISATION;FLAG_FEEDER;ACCRUED_INTEREST;ACCRUED_INTEREST_FUND_CCY;ACCRUED_INTEREST_EUR;Reporting Period
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;05PIB558715EURLU;IE0004927939;000558715000;KSP ID Equity;7774;KINGSPAN GRP;eer;share;ord_sh;sfi_atyp_202;;1;KINGSPAN GROUP;EUR;IE;IRELAND;29;BUILDING MATERIALS & BUILDING INDUSTRY;;LON;XLON;;;;OPJ;;;;;;;;;;;;;;;;;;;;;;;;;14000;72.3;1;1012200;1189638.66;1.1753;.850846;31/03/2021;N;0;0;0;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;05PIB566162USDLU;US74834L1008;000566162000;DGX UN Equity;9731;QUEST DIAGNOSTICS;eer;share;ord_sh;sfi_atyp_202;;1;QUEST DIAGNOSTICS;USD;US;U.S.A.;66;PHARMACEUTICALS AND COSMETICS;;FWTAT;;;;;OXP;;;;;;;;;;;;;;;;;;;;;;;;;18000;128.34;1;2310120;2310120;1;.850846;31/03/2021;N;0;0;0;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;05AIM00476VNOKLU;FO0000000179;011107971000;BAKKA NO Equity;172206;BAKKAFROST;eer;share;ord_sh;sfi_atyp_202;;1;BAKKAFROST;NOK;FO;FAEROE ISLANDS;33;AGRICULTURE AND FISHING;;OSL;XOSL;;;;1OL;;;;;;;;;;;;;;;;;;;;;;;;;18000;677.5;1;12195000;1428596.53;.117146;.850846;31/03/2021;N;0;0;0;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;05PIB912551USDLU;US0865161014;000912551000;BBY UN Equity;13710;BEST BUY;eer;share;ord_sh;sfi_atyp_202;;1;BEST BUY;USD;US;U.S.A.;76;RETAIL TRADE & DEPARTEMENT STORES;;NYX;XNYS;;;;OXP;;;;;;;;;;;;;;;;;;;;;;;;;13000;114.81;1;1492530;1492530;1;.850846;31/03/2021;N;0;0;0;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;05PIB933404USDLU;US94106L1098;000933404000;WM UN Equity;13222;WASTE MANAGEMENT;eer;share;ord_sh;sfi_atyp_202;;1;WASTE MANAGEMENT;USD;US;U.S.A.;91;ENVIRONMENTAL SERVICES & RECYCLING;;FWTAT;;;;;OXP;;;;;;;;;;;;;;;;;;;;;;;;;22000;129.02;1;2838440;2838440;1;.850846;31/03/2021;N;0;0;0;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;05PIB995745USDLU;US92220P1057;000995745000;VAR UN Equity;976717;VARIAN MEDICAL SYSTEMS INC;eer;share;ord_sh;sfi_atyp_202;;1;VARIAN MEDICAL SYSTEMS;USD;US;U.S.A.;66;PHARMACEUTICALS AND COSMETICS;;FWTAT;;;;;OXP;;;;;;;;;;;;;;;;;;;;;;;;;6000;176.53;1;1059180;1059180;1;.850846;31/03/2021;N;0;0;0;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;05PIBA78935USDLU;US50540R4092;001078935000;LH UN Equity;7073;LABORATORY CORP OF AMERICA HOLDINGS;eer;share;ord_sh;sfi_atyp_202;;;LABORATORY CORP AMERICA HOLDINGS;USD;US;U.S.A.;66;PHARMACEUTICALS AND COSMETICS;;FWTAT;;;;;OXP;;;;;;;;;;;;;;;;;;;;;;;;;7000;255.03;1;1785210;1785210;1;.850846;31/03/2021;N;0;0;0;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;05PIBA98758EURLU;FR0000124141;001098758000;VIE FP Equity;2047;VEOLIA ENVIRONNEMENT SA;eer;share;ord_sh;sfi_atyp_202;;1;VEOLIA ENVIRONNEMENT;EUR;FR;FRANCE;92;ENERGY & WATER SUPPLY;;EPA;XPAR;;;;O5S;;;;;;;;;;;;;;;;;;;;;;;;;40000;21.86;1;874400;1027682.32;1.1753;.850846;31/03/2021;N;0;0;0;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;05PIBL14019EURLU;FI0009013296;002114019000;NESTE FH Equity;979401;NESTE;eer;share;ord_sh;sfi_atyp_202;;1;NESTE;EUR;FI;FINLAND;34;PETROLEUM;;HEL;XHEL;;;;1P0;;;;;;;;;;;;;;;;;;;;;;;;;45000;45.26;1;2036700;2393733.51;1.1753;.850846;31/03/2021;N;0;0;0;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;05PIBR86457GBPLU;GB00B1CRLC47;002686457000;MNDI LN Equity;989265;MONDI;eer;share;ord_sh;sfi_atyp_202;;1;MONDI (GBP);GBP;GB;UNITED KINGDOM;31;FORESTRY, PAPER & FOREST PRODUCTS;;LON;XLON;;;;OUR;;;;;;;;;;;;;;;;;;;;;;;;;100000;18.5;1;1850000;2552445;1.3797;.850846;31/03/2021;N;0;0;0;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;05AIM0098MDEURLU;NL0011821392;032618429000;LIGHT NA Equity;185316;SIGNIFY NV;eer;share;ord_sh;sfi_atyp_202;;1;SIGNIFY;EUR;NL;NETHERLANDS;41;ELECTRICAL APLLIANCES & COMPONENTS;;RMC-P;;;;;OM2;;;;;;;;;;;;;;;;;;;;;;;;;50000;43.96;1;2198000;2583309.4;1.1753;.850846;31/03/2021;N;0;0;0;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;05AIM003AH9USDLU;US8545021011;011121681000;SWK UN Equity;14080;STANLEY BLACK & DECKER INC;eer;share;ord_sh;sfi_atyp_202;;1;STANLEY BLACK & DECKER;USD;US;U.S.A.;71;MISC. CONSUMER GOODS;;FWTAT;;;;;OXP;;;;;;;;;;;;;;;;;;;;;;;;;10000;199.67;1;1996700;1996700;1;.850846;31/03/2021;N;0;0;0;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;05PIBK28477EURLU;FI0009013403;002028477000;KNEBV FH Equity;979640;KONE;eer;share;ord_sh;sfi_atyp_202;;;KONE OYJ 'B';EUR;FI;FINLAND;48;MACHINERY & APPARELS;;HEL;XHEL;;;;1P0;;;;;;;;;;;;;;;;;;;;;;;;;24000;69.66;1;1671840;1964913.55;1.1753;.850846;31/03/2021;N;0;0;0;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;05AIM002RZYUSDLU;IE00B4BNMY34;010478724000;ACN UN Equity;995825;ACCENTURE;eer;share;ord_sh;sfi_atyp_202;;1;ACCENTURE 'A';USD;IE;IRELAND;96;MISCELLANEOUS SERVICES;;FWTAT;;;;;OXQ;;;;;;;;;;;;;;;;;;;;;;;;;6000;276.25;1;1657500;1657500;1;.850846;31/03/2021;N;0;0;0;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;05AIM007992DKKLU;DK0060534915;023159222000;NOVOB DC Equity;8233;NOVO NORDISK A/S;eer;share;ord_sh;sfi_atyp_202;;1;NOVO NORDISK 'B';DKK;DK;DENMARK;66;PHARMACEUTICALS AND COSMETICS;;B99997;;;;;1OG;;;;;;;;;;;;;;;;;;;;;;;;;18000;429.75;1;7735500;1222433.8;.158029;.850846;31/03/2021;N;0;0;0;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;05PIB903472USDLU;US00724F1012;000903472000;ADBE UQ Equity;1549;ADOBE INC;eer;share;ord_sh;sfi_atyp_202;;;ADOBE;USD;US;U.S.A.;44;INTERNET, SOFTWARE & IT SERVICES;;NYX;XNYS;;;;OXP;;;;;;;;;;;;;;;;;;;;;;;;;9300;475.37;1;4420941;4420941;1;.850846;31/03/2021;N;0;0;0;31/03/2021
