ID_MAN_CO;FA_NUM;FUND_NAME;RANK;REGISTER_NUMBER;REGISTER_TITLE;AMOUNT_INVESTED;PERCENTAGE_INMATE;INVESTOR_COUNTRY;TNA_FUND;FUND_CCY;DATE_NAV;Reporting Period
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;1;1769;REGULATED FINANCIAL INSTITUTION;39159775.155766;34.008947%;LUXEMBOURG;115145510.675369;USD;31/03/2021;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;2;76;REGULATED FINANCIAL INSTITUTION;18617708.843565;16.168853%;SWITZERLAND;115145510.675369;USD;31/03/2021;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;3;903;REGULATED FINANCIAL INSTITUTION;9772120.74046;8.486758%;SWITZERLAND;115145510.675369;USD;31/03/2021;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;4;4;SUBSIDIARY BRANCH OF A RFI;6709342.093234;5.826838%;BELGIUM;115145510.675369;USD;31/03/2021;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;5;15058;REGULATED FINANCIAL INSTITUTION;6118827.585927;5.313996%;ITALY;115145510.675369;USD;31/03/2021;31/03/2021
