ID_MAN_CO;FUND_NUMBER;FUND_NAME;FUND_CCY;ISIN;SECURITY_NAME;TYPE_INSTR;INSTRUMENT_CCY;INSTRUMENT_PRICE;INSTRUMENT_PRICE_EUR;PRICE_DATE;FX_RATE;TRANSACTION_TYPE;EXECUTION_DATE;TRANSACTION_CCY;QUANTITY;AMOUNT_TRANSACTION_CCY;AMOUNT_FUND_CCY;AMOUNT_TRANSACTION_EUR;FX_RATE_EUR;FX_RATE_DATE;MATURITY_DATE;MIC_CODE;TRANSACTION_PRICE;UNREALIZED_PNL;CANCEL_ANULATION;FLAG_FEEDER;Reporting Period
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;;;;;;;18/03/2021;0;Purchase spot contract ~;18/03/2021;;0;62312;62312;;;31/03/2021;;;;;20;Y;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;;;;;;;16/03/2021;0;Purchase spot contract ~;16/03/2021;;0;814610.91;814610.91;;;31/03/2021;;;;;20;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;;;;;;;15/03/2021;0;Purchase spot contract ~;15/03/2021;;0;21119;21119;;;31/03/2021;;;;;20;Y;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;;Purchase forward contract ~ Bought CHF 307,119.05 Sold USD 330,000.00;;CHF;.930664;.841367;12/03/2021;0;Purchase forward contract ~;12/03/2021;USD;0;307119.05;307119.05;261311.015216;.850846;31/03/2021;;;.930664;;20;Y;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;;;;;;;10/03/2021;0;Purchase spot contract ~;10/03/2021;;0;225448.88;225448.88;;;31/03/2021;;;;;20;Y;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;;;;;;;09/03/2021;0;Purchase spot contract ~;09/03/2021;;0;128655.69;128655.69;;;31/03/2021;;;;;20;Y;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;;;;;;;09/03/2021;0;Purchase spot contract ~;09/03/2021;;0;250000;250000;;;31/03/2021;;;;;20;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;;;;;;;08/03/2021;0;Purchase spot contract ~;08/03/2021;;0;380000;380000;;;31/03/2021;;;;;20;Y;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;;;;;;;03/03/2021;0;Purchase spot contract ~;03/03/2021;;0;117833;117833;;;31/03/2021;;;;;20;Y;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;;;;;;;02/03/2021;0;Purchase spot contract ~;02/03/2021;;0;434944.76;434944.76;;;31/03/2021;;;;;20;Y;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;;;;;;;01/03/2021;0;Purchase spot contract ~;01/03/2021;;0;331000;331000;;;31/03/2021;;;;;20;Y;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;;;;;;;26/02/2021;0;Purchase spot contract ~;26/02/2021;;0;663265.55;663265.55;;;31/03/2021;;;;;20;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;;;;;;;24/02/2021;0;Purchase spot contract ~;24/02/2021;;0;29555727.49;29555727.49;;;31/03/2021;;;;;20;Y;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;;Repayment forward contract ~ Bought EUR 354,357.50 Sold USD 430,000.00;;EUR;1.213464;1.213464;10/02/2021;0;Purchase forward contract ~;10/02/2021;USD;0;354357.5;354357.5;301503.661445;.850846;31/03/2021;;;1.213464;;40;Y;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;;;;;;;23/02/2021;0;Purchase spot contract ~;23/02/2021;;0;319768;319768;;;31/03/2021;;;;;20;Y;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;;;;;;;22/02/2021;0;Purchase spot contract ~;22/02/2021;;0;910924.5;910924.5;;;31/03/2021;;;;;20;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;;;;;;;16/02/2021;0;Purchase spot contract ~;16/02/2021;;0;685000;685000;;;31/03/2021;;;;;20;Y;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;;;;;;;12/02/2021;0;Purchase spot contract ~;12/02/2021;;0;388000;388000;;;31/03/2021;;;;;20;Y;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;;;;;;;11/02/2021;0;Purchase spot contract ~;11/02/2021;;0;11915.19;11915.19;;;31/03/2021;;;;;20;Y;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;;;;;;;10/02/2021;0;Purchase spot contract ~;10/02/2021;;0;430000;430000;;;31/03/2021;;;;;20;Y;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;;;;;;;10/02/2021;0;Purchase spot contract ~;10/02/2021;;0;35321.07;35321.07;;;31/03/2021;;;;;20;Y;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;;;;;;;09/02/2021;0;Purchase spot contract ~;09/02/2021;;0;94290.32;94290.32;;;31/03/2021;;;;;20;Y;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;;;;;;;09/02/2021;0;Purchase spot contract ~;09/02/2021;;0;162226.19;162226.19;;;31/03/2021;;;;;20;Y;31/03/2021
