PUID;ISIN_CODE;BLOOMBERG_TICKER;TELEKURS_CODE;INSTRUMENT_NAME;CLASSIF_1_GRINFIN;CLASSIF_2_ASSETGROUP;CLASSIF_3_ASSET_PICTET_TYPE;CLASSIF_3_SFI_TYPE;ISSUER_CODE;ISSUER_NAME;INSTRUMENT_CCY;INTERNAL_MARKET_CODE;MIC_MARKET_CODE;MARKET_PLACE_NAME;COUNTRY_CODE;COUNTRY_NAME;ECONOMICAL_SECTOR_CODE;ECONOMICAL_SECTOR_NAME;GEOGRAPHICAL_SECTOR_CODE;GEOGRAPHICAL_SECTOR_NAME;MATURITY_DATE;TYPE_STRIKE;STRIKE_VALUE;CONTRACT_SIZE;CONVERSION_RATIO;RATING_SP;RATING_MOODYS;RATING_FITCH;IS_CDS_PROTECTION_BUYER;IS_CDS_PROTECTION_SELLER;YIELD_RATE;MATURITY_RATE;COUPON_RATE;COUPON_FREQUENCY;COUPON_AMOUNT;DURATION;MODIFIED_DURATION;NEXT_COUPON_DATE;SETTLEMENT_TYPE;IMPLIED_VOLATILITY;DELTA;GAMMA;VEGA;OPTION_TYPE;OPTION_STYLE;CALL_VALUE;PUT_VALUE;CALL_DATE;PUT_DATE;CREDIT_SPREAD;EQUITY_DELTA;CS01;DV01;SETTLEMENT_DELAY;SETTLEMENT_DATE;NAV_FREQUENCY;SEDOL_CODE;CUSIP;COTATION_PLACE_CODE;UNDERLYING_ISIN_CODE;UNDERLYING_INSTRUMENT_NAME;Reporting Period
05PIB763300JPYLU;JP3435000009;6758 JT Equity;000763300000;SONY;eer;share;ord_sh;sfi_atyp_202;12147;SONY GROUP CORPORATION;JPY;FRA;XFRA;Frankfurter Wertpapierborse;JP;JAPAN;42;ELECTRONICS & SEMICONDUCTORS;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6821506;;106;;;31/03/2021
05PIB919254USDLU;US1890541097;CLX UN Equity;000919254000;CLOROX;eer;share;ord_sh;sfi_atyp_202;13770;CLOROX;USD;NYX;XNYS;NYSE Euronext, New York;US;U.S.A.;71;MISC. CONSUMER GOODS;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2204026;;065;;;31/03/2021
05PIB957150USDLU;US6541061031;NKE UN Equity;000957150000;NIKE 'B';eer;share;ord_sh;sfi_atyp_202;13989;NIKE;USD;FRA;XFRA;Frankfurter Wertpapierborse;US;U.S.A.;68;TEXTILE & CLOTHING;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2640147;;065;;;31/03/2021
05PIB945916USDLU;US5010441013;KR UN Equity;000945916000;KROGER;eer;share;ord_sh;sfi_atyp_202;13927;KROGER;USD;NYX;XNYS;NYSE Euronext, New York;US;U.S.A.;76;RETAIL TRADE & DEPARTEMENT STORES;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2497406;;065;;;31/03/2021
05PIBA36943USDLU;US87612E1064;TGT UN Equity;001036943000;TARGET;eer;share;ord_sh;sfi_atyp_202;3188;TARGET;USD;FWTAT;;;US;U.S.A.;76;RETAIL TRADE & DEPARTEMENT STORES;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2259101;;065;;;31/03/2021
05PIB494484EURLU;FR0000121261;ML FP Equity;000494484000;MICHELIN 'B' NOM.;eer;share;ord_sh;sfi_atyp_202;8481;CIE GEN. ETABLISSEMENTS MICHELIN;EUR;EPA;XPAR;Paris NYSE Euronext;FR;FRANCE;52;TIRES & RUBBER;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4588364;;025;;;31/03/2021
05PIB249745CHFLU;CH0002497458;SGSN SW Equity;000249745000;SGS NOM.;eer;share;ord_sh;sfi_atyp_202;11946;SGS;CHF;SWX;XSWX;SIX Swiss Exchange;CH;SWITZERLAND;96;MISCELLANEOUS SERVICES;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4824778;;004;;;31/03/2021
05AIM0096M9USDLU;US78409V1044;SPGI UN Equity;032303352000;S&P GLOBAL;eer;share;ord_sh;sfi_atyp_202;7125;S&P GLOBAL;USD;RMC-P;;;US;U.S.A.;73;GRAPHICS PUBLISHING & PRINTING MEDIA;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BYV2325;;065;;;31/03/2021
05NEX000IPOUSDLU;US68902V1070;OTIS UN Equity;053366089000;OTIS WORLDWIDE;eer;share;ord_sh;sfi_atyp_202;198704;OTIS WORLDWIDE CORP;USD;PBW;;;US;U.S.A.;48;MACHINERY & APPARELS;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BK531S8;;065;;;31/03/2021
05PIB910162USDLU;US0536111091;AVY UN Equity;000910162000;AVERY DENNISON;eer;share;ord_sh;sfi_atyp_202;10272;AVERY DENNISON;USD;FWTAT;;;US;U.S.A.;45;COMPUTER HARDWARE & NETWORKING;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2066408;;065;;;31/03/2021
