ID_MAN_CO;FUND_NUMBER;FUND_NAME;FUND_CCY;BUY_CCY;SOLD_CCY;BUY_AMOUNT;SOLD_AMOUNT;POSITION_VALUE_CPT_CCY;POSITION_VALUE_EUR;REALIZED_UNREALIZED_CPT_CCY;REALIZED_UNREALIZED_EUR;CPT_CCY_EUR_RATE;MATURITY_DATE;MATURITY_FX_RATE;SPOT_FX_RATE;FLAG_FEEDER;Reporting Period
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;CHF;USD;14350865;15280288.55;-19969.58;-16991.042873;-19969.58;-16991.042873;.850846;30/04/2021;.939175;.940404;Y;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;EUR;USD;25409355.93;29927520.55;-45940.09;-39087.954718;-45940.09;-39087.954718;.850846;30/04/2021;1.177815;1.176007;Y;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;EUR;USD;527463.1;619000;1300.3;1106.355419;1300.3;1106.355419;.850846;30/04/2021;1.173542;1.176007;Y;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;EUR;USD;350457.13;412000;140.04;119.152513;140.04;119.152513;.850846;30/04/2021;1.175607;1.176007;Y;31/03/2021
